route,direction,departure_time,arrival_time,valid_from,valid_to
hachioji,0,07:43:00,08:13:00,2024-04-01,2025-07-30
hachioji,0,08:00:00,08:30:00,2024-04-01,2025-07-30
hachioji,0,08:13:00,08:43:00,2024-04-01,2025-07-30
hachioji,0,08:23:00,08:53:00,2024-04-01,2025-07-30
hachioji,0,08:39:00,09:09:00,2024-04-01,2025-07-30
hachioji,0,08:48:00,09:18:00,2024-04-01,2025-07-30
hachioji,0,08:56:00,09:26:00,2024-04-01,2025-07-30
hachioji,0,09:17:00,09:47:00,2024-04-01,2025-07-30
hachioji,0,09:32:00,10:02:00,2024-04-01,2025-07-30
hachioji,0,09:56:00,10:26:00,2024-04-01,2025-07-30
hachioji,0,10:22:00,10:52:00,2024-04-01,2025-07-30
hachioji,0,11:04:00,11:34:00,2024-04-01,2025-07-30
hachioji,0,11:31:00,12:01:00,2024-04-01,2025-07-30
hachioji,0,11:59:00,12:29:00,2024-04-01,2025-07-30
hachioji,0,12:21:00,12:51:00,2024-04-01,2025-07-30
hachioji,0,12:46:00,13:16:00,2024-04-01,2025-07-30
hachioji,0,13:20:00,13:50:00,2024-04-01,2025-07-30
hachioji,0,13:44:00,14:14:00,2024-04-01,2025-07-30
hachioji,0,14:19:00,14:49:00,2024-04-01,2025-07-30
hachioji,0,14:44:00,15:14:00,2024-04-01,2025-07-30
hachioji,0,15:19:00,15:49:00,2024-04-01,2025-07-30
hachioji,0,15:53:00,16:23:00,2024-04-01,2025-07-30
hachioji,0,16:22:00,16:52:00,2024-04-01,2025-07-30
hachioji,0,16:49:00,17:19:00,2024-04-01,2025-07-30
hachioji,0,17:03:00,17:33:00,2024-04-01,2025-07-30
hachioji,0,17:24:00,17:54:00,2024-04-01,2025-07-30
hachioji,0,17:43:00,18:13:00,2024-04-01,2025-07-30
hachioji,0,18:18:00,18:48:00,2024-04-01,2025-07-30
hachioji,0,18:43:00,19:13:00,2024-04-01,2025-07-30
hachioji,0,19:10:00,19:40:00,2024-04-01,2025-07-30 
