route,direction,departure_time,arrival_time,valid_from,valid_to
hachioji,0,07:15:00,07:48:00,2024-04-01,2025-07-30
hachioji,0,07:15:00,07:48:00,2024-04-01,2025-07-30
hachioji,0,07:28:00,07:58:00,2024-04-01,2025-07-30
hachioji,0,07:33:00,08:03:00,2024-04-01,2025-07-30
hachioji,0,07:38:00,08:08:00,2024-04-01,2025-07-30
hachioji,0,07:43:00,08:13:00,2024-04-01,2025-07-30
hachioji,1,07:43:00,09:15:00,2024-04-01,2025-07-30
hachioji,0,09:03:00,09:33:00,2024-04-01,2025-07-30
hachioji,0,09:08:00,09:38:00,2024-04-01,2025-07-30
hachioji,0,09:13:00,09:43:00,2024-04-01,2025-07-30
hachioji,0,09:18:00,09:48:00,2024-04-01,2025-07-30
hachioji,0,09:23:00,09:53:00,2024-04-01,2025-07-30
hachioji,0,09:28:00,09:58:00,2024-04-01,2025-07-30
hachioji,0,09:33:00,10:03:00,2024-04-01,2025-07-30
hachioji,0,09:38:00,10:08:00,2024-04-01,2025-07-30
hachioji,0,09:43:00,10:13:00,2024-04-01,2025-07-30
hachioji,0,09:48:00,10:18:00,2024-04-01,2025-07-30
hachioji,0,09:53:00,10:23:00,2024-04-01,2025-07-30
hachioji,0,09:58:00,10:28:00,2024-04-01,2025-07-30
hachioji,0,10:03:00,10:33:00,2024-04-01,2025-07-30
hachioji,0,10:08:00,10:38:00,2024-04-01,2025-07-30
hachioji,0,10:13:00,10:43:00,2024-04-01,2025-07-30
hachioji,0,10:18:00,10:48:00,2024-04-01,2025-07-30
hachioji,0,10:23:00,10:53:00,2024-04-01,2025-07-30
hachioji,0,10:28:00,10:58:00,2024-04-01,2025-07-30
hachioji,0,10:33:00,11:03:00,2024-04-01,2025-07-30
hachioji,0,10:38:00,11:08:00,2024-04-01,2025-07-30
hachioji,0,10:48:00,11:18:00,2024-04-01,2025-07-30
hachioji,0,10:58:00,11:28:00,2024-04-01,2025-07-30
hachioji,0,11:08:00,11:38:00,2024-04-01,2025-07-30
hachioji,0,11:18:00,11:48:00,2024-04-01,2025-07-30
hachioji,0,11:28:00,11:58:00,2024-04-01,2025-07-30
hachioji,0,11:38:00,12:08:00,2024-04-01,2025-07-30
hachioji,0,11:53:00,12:23:00,2024-04-01,2025-07-30
hachioji,0,12:03:00,12:33:00,2024-04-01,2025-07-30
hachioji,0,12:08:00,12:38:00,2024-04-01,2025-07-30
hachioji,0,12:13:00,12:43:00,2024-04-01,2025-07-30
hachioji,0,12:18:00,12:48:00,2024-04-01,2025-07-30
hachioji,0,12:23:00,12:53:00,2024-04-01,2025-07-30
hachioji,0,12:28:00,12:58:00,2024-04-01,2025-07-30
hachioji,0,12:33:00,13:03:00,2024-04-01,2025-07-30
hachioji,0,12:38:00,13:08:00,2024-04-01,2025-07-30
hachioji,0,12:48:00,13:18:00,2024-04-01,2025-07-30
hachioji,0,12:58:00,13:28:00,2024-04-01,2025-07-30
hachioji,0,13:08:00,13:38:00,2024-04-01,2025-07-30
