route,direction,departure_time,arrival_time,valid_from,valid_to
minamino,0,07:58:00,08:18:00,2024-04-01,2025-07-30
minamino,0,08:08:00,08:28:00,2024-04-01,2025-07-30
minamino,0,08:25:00,08:45:00,2024-04-01,2025-07-30
minamino,0,08:35:00,08:55:00,2024-04-01,2025-07-30
minamino,0,09:02:00,09:22:00,2024-04-01,2025-07-30
minamino,0,09:25:00,09:45:00,2024-04-01,2025-07-30
minamino,0,09:56:00,10:16:00,2024-04-01,2025-07-30
minamino,0,10:17:00,10:37:00,2024-04-01,2025-07-30
minamino,0,10:48:00,11:08:00,2024-04-01,2025-07-30
minamino,0,11:15:00,11:35:00,2024-04-01,2025-07-30
minamino,0,11:48:00,12:08:00,2024-04-01,2025-07-30
minamino,0,12:28:00,12:48:00,2024-04-01,2025-07-30
minamino,0,12:48:00,13:08:00,2024-04-01,2025-07-30
minamino,0,13:08:00,13:28:00,2024-04-01,2025-07-30
minamino,0,13:35:00,13:55:00,2024-04-01,2025-07-30
minamino,0,14:08:00,14:28:00,2024-04-01,2025-07-30
minamino,0,14:35:00,14:55:00,2024-04-01,2025-07-30
minamino,0,15:21:00,15:41:00,2024-04-01,2025-07-30
minamino,0,15:41:00,16:01:00,2024-04-01,2025-07-30
minamino,0,16:21:00,16:41:00,2024-04-01,2025-07-30
minamino,0,16:41:00,17:01:00,2024-04-01,2025-07-30
minamino,0,17:01:00,17:21:00,2024-04-01,2025-07-30
minamino,0,17:21:00,17:41:00,2024-04-01,2025-07-30
minamino,0,17:41:00,18:01:00,2024-04-01,2025-07-30
minamino,0,18:11:00,18:31:00,2024-04-01,2025-07-30
minamino,0,18:46:00,19:06:00,2024-04-01,2025-07-30
minamino,0,19:10:00,19:30:00,2024-04-01,2025-07-30 
