route,direction,departure_time,arrival_time,valid_from,valid_to
minamino,0,07:22:00,07:39:00,2024-04-01,2025-07-30
minamino,0,07:22:00,07:39:00,2024-04-01,2025-07-30
minamino,0,07:31:00,07:48:00,2024-04-01,2025-07-30
minamino,0,07:37:00,07:54:00,2024-04-01,2025-07-30
minamino,0,07:45:00,08:02:00,2024-04-01,2025-07-30
minamino,0,07:51:00,08:08:00,2024-04-01,2025-07-30
minamino,0,07:59:00,08:16:00,2024-04-01,2025-07-30
minamino,0,08:08:00,08:25:00,2024-04-01,2025-07-30
minamino,1,08:08:00,09:25:00,2024-04-01,2025-07-30
minamino,0,09:18:00,09:35:00,2024-04-01,2025-07-30
minamino,0,09:27:00,09:44:00,2024-04-01,2025-07-30
minamino,0,09:36:00,09:53:00,2024-04-01,2025-07-30
minamino,0,09:47:00,10:04:00,2024-04-01,2025-07-30
minamino,0,09:53:00,10:10:00,2024-04-01,2025-07-30
minamino,0,10:03:00,10:20:00,2024-04-01,2025-07-30
minamino,0,10:11:00,10:28:00,2024-04-01,2025-07-30
minamino,0,10:17:00,10:24:00,2024-04-01,2025-07-30
minamino,0,10:23:00,10:40:00,2024-04-01,2025-07-30
minamino,0,10:33:00,10:50:00,2024-04-01,2025-07-30
minamino,0,10:39:00,10:56:00,2024-04-01,2025-07-30
minamino,0,10:49:00,11:06:00,2024-04-01,2025-07-30
minamino,0,10:56:00,11:13:00,2024-04-01,2025-07-30
minamino,0,11:09:00,11:26:00,2024-04-01,2025-07-30
minamino,0,11:16:00,11:33:00,2024-04-01,2025-07-30
minamino,0,11:29:00,11:46:00,2024-04-01,2025-07-30
minamino,0,11:36:00,11:53:00,2024-04-01,2025-07-30
minamino,0,11:49:00,12:06:00,2024-04-01,2025-07-30
minamino,0,11:56:00,12:13:00,2024-04-01,2025-07-30
minamino,0,12:02:00,12:19:00,2024-04-01,2025-07-30
minamino,0,12:09:00,12:26:00,2024-04-01,2025-07-30
minamino,0,12:16:00,12:33:00,2024-04-01,2025-07-30
minamino,0,12:22:00,12:39:00,2024-04-01,2025-07-30
minamino,0,12:29:00,12:46:00,2024-04-01,2025-07-30
minamino,0,12:36:00,12:53:00,2024-04-01,2025-07-30
minamino,0,12:42:00,12:59:00,2024-04-01,2025-07-30
minamino,0,12:49:00,13:06:00,2024-04-01,2025-07-30
