route,direction,departure_time,arrival_time,is_shuttle,shuttle_start,shuttle_end,valid_from,valid_to,remarks,timetable_type
minamino,0,08:08:00,08:16:00,0,,,,,,2
minamino,0,08:35:00,08:43:00,0,,,,,,2
minamino,0,09:02:00,09:10:00,0,,,,,,2
minamino,0,09:25:00,09:33:00,0,,,,,,2
minamino,0,10:17:00,10:25:00,0,,,,,,2
minamino,0,11:15:00,11:23:00,0,,,,,,2
minamino,0,12:28:00,12:36:00,0,,,,,,2
minamino,0,13:08:00,13:16:00,0,,,,,,2
minamino,0,14:08:00,14:16:00,0,,,,,,2
minamino,0,15:21:00,15:29:00,0,,,,,,2
minamino,0,16:21:00,16:29:00,0,,,,,,2
minamino,0,17:01:00,17:09:00,0,,,,,,2
minamino,0,17:41:00,17:49:00,0,,,,,,2
minamino,0,18:11:00,18:19:00,0,,,,,,2
minamino,0,19:10:00,19:18:00,0,,,,,,2
minamino,1,08:16:00,08:28:00,0,,,,,,2
minamino,1,08:43:00,08:55:00,0,,,,,,2
minamino,1,09:10:00,09:22:00,0,,,,,,2
minamino,1,09:33:00,09:45:00,0,,,,,,2
minamino,1,10:25:00,10:37:00,0,,,,,,2
minamino,1,11:23:00,11:35:00,0,,,,,,2
minamino,1,12:36:00,12:48:00,0,,,,,,2
minamino,1,13:16:00,13:28:00,0,,,,,,2
minamino,1,14:16:00,14:28:00,0,,,,,,2
minamino,1,15:29:00,15:41:00,0,,,,,,2
minamino,1,16:29:00,16:41:00,0,,,,,,2
minamino,1,17:09:00,17:21:00,0,,,,,,2
minamino,1,17:49:00,18:01:00,0,,,,,,2
minamino,1,18:19:00,18:31:00,0,,,,,,2
minamino,1,19:18:00,19:30:00,0,,,,,,2
