route,departure,station_arrival,return_to_campus,remarks
八王子みなみ野駅,7:22,7:29,7:39,
八王子みなみ野駅,7:31,7:38,7:48,
八王子みなみ野駅,7:37,7:44,7:54,
八王子みなみ野駅,7:45,7:52,8:02,
八王子みなみ野駅,7:51,7:58,8:08,
八王子みなみ野駅,7:59,8:06,8:16,
八王子みなみ野駅,8:08,8:15,8:25,
八王子みなみ野駅,シャトル運行,シャトル運行,シャトル運行,約3～5分間隔
八王子みなみ野駅,9:18,9:25,9:35,
八王子みなみ野駅,9:27,9:34,9:44,
八王子みなみ野駅,9:37,9:44,9:54,
八王子みなみ野駅,9:48,9:55,10:05,
八王子みなみ野駅,9:53,10:00,10:10,
八王子みなみ野駅,10:03,10:10,10:20,
八王子みなみ野駅,10:11,10:18,10:28,
八王子みなみ野駅,10:17,10:24,10:34,
八王子みなみ野駅,10:23,10:30,10:40,
八王子みなみ野駅,10:33,10:40,10:50,
八王子みなみ野駅,10:39,10:46,10:56,
八王子みなみ野駅,10:49,10:56,11:06,
八王子みなみ野駅,10:56,11:03,11:13,
八王子みなみ野駅,11:09,11:16,11:26,
八王子みなみ野駅,11:16,11:23,11:33,
八王子みなみ野駅,11:29,11:36,11:46,
八王子みなみ野駅,11:36,11:43,11:53,
八王子みなみ野駅,11:49,11:56,12:06,
八王子みなみ野駅,11:56,12:03,12:13,
八王子みなみ野駅,12:02,12:09,12:19,
八王子みなみ野駅,12:09,12:16,12:26,
八王子みなみ野駅,12:16,12:23,12:33,
八王子みなみ野駅,12:22,12:29,12:39,
八王子みなみ野駅,12:29,12:36,12:46,
八王子みなみ野駅,12:36,12:43,12:53,
八王子みなみ野駅,12:42,12:49,12:59,
八王子みなみ野駅,12:49,12:56,13:06,
八王子みなみ野駅,12:56,13:03,13:13,
八王子みなみ野駅,13:09,13:16,13:26,
八王子みなみ野駅,13:16,13:23,13:33,
八王子みなみ野駅,13:29,13:36,13:46,
八王子みなみ野駅,13:36,13:43,13:53,
八王子みなみ野駅,13:49,13:56,14:06,
八王子みなみ野駅,13:56,14:03,14:13,
八王子みなみ野駅,14:09,14:16,14:26,
八王子みなみ野駅,14:16,14:23,14:33,
八王子みなみ野駅,14:29,14:36,14:46,
